"oid","fk_books","fk_langs"
84747932,7860,"de"
84747933,7861,"de"
84747944,7875,"de"
84747957,7888,"de"
84747978,7933,"de"
84747979,7934,"de"
84747984,7939,"de"
84747988,7943,"de"
84747989,7944,"de"
84747990,7945,"de"
84747991,7946,"de"
84748030,7985,"de"
84748041,7996,"de"
84748119,8074,"fr"
84748129,8085,"de"
84748139,8096,"nl"
84748140,8097,"nl"
84748141,8098,"nl"
84748142,8099,"nl"
84748143,8100,"nl"
84753199,8102,"enm"
84748160,8119,"pl"
84748167,8126,"de"
84748209,8173,"fr"
84748210,8174,"fr"
84748211,8175,"fr"
84748214,8177,"eo"
84748223,8186,"fr"
84748231,8194,"cy"
84748261,8224,"eo"
84748335,8298,"de"
84748412,8375,"de"
84748429,8392,"de"
84753189,8400,"la"
84748452,8416,"fr"
84748467,8431,"fi"
84748487,8451,"fi"
84748489,8453,"fr"
84748490,8454,"fr"
84748504,8468,"nl"
84748514,8490,"fr"
84748518,8494,"fi"
84755682,8518,"sv"
84748544,8520,"fr"
84748548,8524,"fr"
84748561,8541,"fr"
84748580,8560,"fr"
84748581,8561,"fr"
84748583,8563,"fr"
84753195,8565,"de"
84748587,8568,"de"
84753200,8591,"fr"
84748657,8650,"fr"
84748676,8669,"fi"
84748699,8692,"fr"
84748700,8693,"fr"
84748705,8698,"pt"
84748708,8712,"fr"
84748715,8719,"fr"
84748734,8738,"la"
84748735,8739,"fr"
84748754,8803,"de"
84748755,8804,"nl"
84748772,8822,"fr"
84748813,8863,"fr"
84748814,8864,"fr"
84748820,8870,"es"
84748826,8876,"fr"
84748839,8889,"de"
84748845,8895,"de"
84748857,8907,"fr"
84748865,8915,"de"
84748866,8916,"de"
84748867,8917,"de"
84748869,8919,"de"
84748871,8921,"de"
84748872,8922,"de"
84748873,8923,"de"
84748875,8925,"de"
84748876,8926,"de"
84748877,8927,"de"
84752863,8946,"fr"
84748910,8961,"de"
84748913,8964,"de"
84753308,8997,"la"
84748948,8999,"de"
84748949,9000,"sa"
84748993,9044,"de"
84748994,9045,"de"
84748995,9046,"de"
84748998,9049,"de"
84749002,9053,"fr"
84749918,9058,"de"
84749006,9059,"de"
84749009,9062,"de"
84749011,9064,"de"
84749012,9065,"de"
84749013,9066,"de"
84749029,9082,"fi"
84749030,9083,"de"
84749031,9084,"de"
84749032,9085,"de"
84749033,9086,"de"
84753006,9090,"la"
84749045,9099,"de"
84749054,9108,"de"
84749056,9110,"de"
84749070,9157,"de"
84749071,9158,"de"
84749072,9159,"de"
84749073,9160,"de"
84753202,9175,"la"
84749090,9178,"de"
84749093,9181,"de"
84749098,9186,"de"
84749099,9187,"de"
84749112,9200,"de"
84749172,9260,"de"
84749173,9261,"fr"
84749174,9262,"fr"
84749176,9264,"da"
84749214,9302,"it"
84749237,9325,"de"
84749238,9326,"de"
84749239,9327,"de"
84749247,9335,"de"
84749281,9369,"de"
84749287,9375,"de"
84749358,9453,"fr"
84749395,9491,"de"
84749398,9494,"de"
84749399,9495,"de"
84749400,9496,"de"
84749520,9623,"de"
84749529,9632,"de"
84749534,9637,"fr"
84749535,9638,"fr"
84749536,9639,"fr"
84749538,9641,"it"
84749539,9642,"it"
84749540,9643,"fr"
84749541,9644,"fr"
84749542,9645,"fr"
84749543,9646,"la"
84753204,9654,"pt"
84749551,9655,"fr"
84754836,9700,"ang"
84754835,9701,"ang"
84749696,9802,"de"
84749704,9810,"de"
84749712,9818,"fr"
84749718,9824,"fr"
84749721,9827,"sv"
84749722,9828,"sv"
84754288,9842,"cy"
84749737,9843,"da"
84749753,9859,"de"
84749754,9860,"de"
84749755,9861,"de"
84749769,9875,"de"
84749784,9890,"es"
84749785,9891,"fr"
84749786,9892,"fr"
84749787,9893,"fr"
84749788,9894,"fr"
84749789,9895,"es"
84749836,9945,"fr"
84749841,9950,"de"
84749842,9951,"sv"
84749867,9976,"fr"
84749868,9977,"de"
84749871,9980,"es"
84753192,10040,"ale"
84749997,10053,"fr"
84749998,10054,"la"
84749999,10055,"de"
84750005,10061,"fr"
84750057,10113,"nl"
84750061,10117,"sv"
84763206,10156,"it"
84750104,10160,"fr"
84750159,10215,"it"
84750162,10218,"da"
84750167,10223,"de"
84750172,10228,"es"
84755215,10236,"es"
84750198,10255,"es"
84750199,10256,"de"
84750200,10257,"yi"
84750203,10261,"es"
84750204,10262,"es"
84750205,10263,"fr"
84750206,10264,"lt"
84750207,10265,"fi"
84750213,10271,"de"
84750214,10272,"it"
84750215,10273,"it"
84750217,10275,"it"
84750218,10276,"la"
84752510,10278,"it"
84750231,10289,"fr"
84750232,10290,"fr"
84750235,10293,"es"
84750276,10334,"nl"
84750288,10346,"fr"
84750291,10349,"nl"
84750295,10353,"de"
84750296,10354,"de"
84750326,10384,"fr"
84750327,10385,"fr"
84750342,10400,"nl"
84750367,10425,"de"
84750368,10426,"de"
84750370,10428,"de"
84750384,10442,"fr"
84750422,10480,"fi"
84750423,10481,"fi"
84750434,10492,"fi"
84750444,10502,"it"
84750448,10506,"es"
84750449,10507,"de"
84750454,10512,"nl"
84750456,10514,"nl"
84750546,10604,"fr"
84750606,10664,"nl"
84750620,10678,"fr"
84750622,10680,"fr"
84750624,10682,"fr"
84750625,10683,"fr"
84750627,10685,"fr"
84750628,10686,"da"
84754825,10687,"fr"
84750630,10689,"fr"
84750638,10697,"fr"
84750681,10746,"fr"
84750687,10752,"bg"
84750699,10764,"fr"
84750703,10768,"fr"
84750709,10774,"fr"
84750710,10775,"fr"
84753846,10814,"es"
84750754,10819,"nl"
84750755,10820,"nl"
84750756,10821,"es"
84750757,10822,"es"
84750758,10823,"de"
84750759,10824,"fr"
84750760,10825,"es"
84750764,10829,"da"
84750776,10841,"fr"
84750798,10863,"fi"
84750841,10906,"fr"
84750844,10909,"es"
84750849,10914,"de"
84750852,10917,"de"
84750862,10927,"fi"
84750876,10941,"fi"
84750888,10953,"fr"
84750906,10971,"nl"
84750910,10975,"nl"
84750917,10982,"fr"
84750956,11024,"nl"
84750967,11035,"fr"
84750968,11036,"fr"
84750969,11037,"fr"
84750970,11038,"fr"
84750972,11040,"fr"
84750974,11042,"fr"
84750978,11046,"fr"
84754823,11047,"es"
84750979,11048,"fr"
84750980,11049,"fr"
84751001,11070,"es"
84751002,11071,"es"
84751003,11072,"fi"
84751006,11075,"de"
84760324,11081,"es"
84753205,11081,"nai"
84751038,11108,"de"
84751061,11131,"fr"
84751062,11132,"fr"
84751069,11139,"da"
84751082,11152,"fi"
84751105,11175,"fr"
84751106,11176,"fr"
84751108,11178,"fr"
84751129,11199,"fr"
84751135,11205,"nl"
84751136,11206,"it"
84751137,11207,"nl"
84751138,11208,"nl"
84751139,11209,"nl"
84751214,11285,"nl"
84751215,11286,"nl"
84751216,11287,"nl"
84751217,11288,"nl"
84751220,11291,"sr"
84751221,11292,"sr"
84751222,11293,"no"
84751223,11294,"fi"
84751224,11295,"fi"
84751225,11296,"fi"
84751228,11299,"pt"
84751229,11300,"fr"
84751230,11301,"fr"
84751231,11302,"es"
84751234,11305,"it"
84753130,11306,"ca"
84753131,11306,"de"
84751235,11307,"eo"
84751245,11317,"nl"
84751246,11318,"nl"
84751283,11355,"nl"
84751308,11380,"fr"
84751321,11393,"nl"
84751324,11396,"da"
84751351,11423,"fr"
84751358,11430,"nl"
84751362,11434,"fr"
84751378,11450,"fr"
84751381,11453,"fr"
84751395,11467,"nl"
84751412,11484,"fr"
84751420,11492,"it"
84751422,11494,"fr"
84751423,11495,"fr"
84751425,11497,"it"
84751428,11500,"nl"
84751439,11511,"eo"
84751457,11529,"es"
84753033,11586,"fr"
84751515,11588,"fr"
84751516,11589,"fr"
84751517,11590,"fr"
84751518,11591,"nl"
84751523,11596,"fr"
84751524,11597,"fr"
84751525,11598,"es"
84751548,11621,"fr"
84751549,11622,"fr"
84751571,11644,"it"
84751572,11645,"fr"
84751573,11646,"fr"
84751577,11650,"fr"
84751584,11657,"es"
84751590,11663,"es"
84751596,11669,"es"
84751604,11677,"de"
84751605,11678,"fr"
84751611,11684,"it"
84751612,11685,"it"
84751641,11714,"fr"
84751651,11724,"it"
84751666,11739,"nl"
84751671,11744,"fr"
84751674,11747,"fr"
84753643,11748,"fr"
84751682,11756,"ro"
84751692,11766,"fr"
84751693,11767,"fr"
84751695,11769,"fr"
84751696,11770,"fr"
84751699,11773,"fi"
84751780,11879,"fi"
84751785,11884,"nl"
84751792,11891,"fi"
84751794,11893,"fr"
84751800,11899,"nl"
84751806,11905,"fr"
84751815,11914,"fi"
84751817,11916,"fi"
84753244,11925,"de"
84751827,11927,"fr"
84751828,11928,"fr"
84751840,11940,"fi"
84751863,11964,"fr"
84751866,11967,"fi"
84751867,11968,"fi"
84751902,12003,"nl"
84751904,12005,"fr"
84751907,12008,"nl"
84751908,12009,"nl"
84751910,12011,"fr"
84751911,12012,"de"
84751949,12053,"de"
84751961,12065,"fr"
84751966,12070,"nl"
84751968,12072,"fr"
84751971,12075,"de"
84751976,12080,"fr"
84752001,12105,"fr"
84752004,12108,"de"
84752009,12113,"de"
84752013,12117,"da"
84752015,12119,"sv"
84752016,12120,"fr"
84753156,12137,"fr"
84752060,12165,"fi"
84752062,12167,"da"
84752063,12168,"da"
84752069,12174,"fr"
84752073,12178,"fi"
84752077,12182,"fi"
84753193,12219,"nah"
84752124,12230,"fr"
84752140,12246,"fr"
84752141,12247,"fr"
84752144,12250,"fr"
84752145,12251,"fr"
84752152,12258,"fr"
84752160,12266,"de"
84752161,12267,"de"
84752162,12268,"de"
84752165,12271,"fr"
84752167,12273,"de"
84752168,12274,"es"
84752169,12275,"es"
84752170,12276,"es"
84752177,12284,"fr"
84752182,12289,"fr"
84752188,12295,"fr"
84752194,12301,"fr"
84752223,12331,"fr"
84752224,12332,"fr"
84752230,12338,"fr"
84752231,12339,"da"
84752252,12356,"fr"
84745167,12365,"fr"
84745169,12367,"fr"
84753381,12368,"es"
84749900,12379,"fi"
84749903,12382,"fi"
84752044,12399,"fr"
84752280,12401,"fr"
84752286,12407,"zh"
84752287,12408,"zh"
84752311,12432,"fi"
84753380,12435,"es"
84752315,12437,"fr"
84752324,12446,"it"
84752325,12447,"fr"
84752326,12448,"fr"
84752329,12451,"fr"
84752334,12457,"es"
84752336,12459,"fr"
84753340,12472,"fr"
84752354,12479,"zh"
84752362,12487,"fr"
84752363,12488,"fr"
84752364,12489,"fr"
84752373,12499,"sv"
84752239,12500,"es"
84752240,12501,"es"
84752241,12502,"es"
84752242,12503,"es"
84753847,12504,"fr"
84752403,12533,"fr"
84752404,12534,"fr"
84752416,12546,"fi"
84752417,12547,"fi"
84752432,12562,"fr"
84752436,12566,"fr"
84752264,12579,"pt"
84752454,12602,"fr"
84752455,12603,"fr"
84752456,12604,"fi"
84752464,12612,"fi"
84752465,12613,"sv"
84752472,12620,"fr"
84752483,12627,"es"
84752492,12636,"de"
84752493,12637,"nl"
84752524,12646,"fr"
84752532,12660,"de"
84752541,12665,"fr"
84752542,12666,"fr"
84752565,12688,"fi"
84752576,12698,"da"
84752603,12726,"fr"
84752604,12727,"fr"
84752623,12749,"fr"
84752632,12751,"fr"
84752633,12752,"fr"
84752637,12756,"nl"
84752638,12757,"fi"
84752661,12780,"fi"
84752663,12782,"fr"
84752664,12783,"fr"
84752676,12786,"kha"
